id,name,spotify_id,thumbnail
203,T.I.,4OBJLual30L7gRl5UkeRcT,U6z_cilnJzg
336,Julio Bashmore,,RnGCoQe-hzU
337,Faul & Wad Ad,,6_tyPKUZumw
341,Skee-Lo,,ryDOy3AosBw
340,Bahamas,4C50EbCS11M0VbGyH3OfLt,BPkMh7bR4PE
15,Aer,25hbSOMmbhgqvonjC876UJ,FFhs6_b8tzs
11,Animal Collective,4kwxTgCKMipBKhSnEstNKj,zol2MJf6XNE
10,Andrew Rayel,1UtBjqMZBAmqIPlDrKu7Tr,93HWMspjxqI
21,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I,i3Jv9fNPjgk
26,Beach House,56ZTgzPBDge0OvCGgMO3OY,OS6duOoxctw
33,Blockhead,7bHm3B3jJju0q9FUdOgp3b,NhheiPTdZCw
37,Breach,2MMkuQE0f6CDaamJdWXaCC,m0EiujcV3Tg
46,Chet Faker,2Q0MyH5YMI5HPQjFjlq5g3,aP_-P_BS6KY
42,Carnage,7CCjtD0hCK005Bvg2WG1a7,ZJQO_228-UA
51,Chris Malinchak,5UVzX8pQe6bb5ueNdfViih,KrMl32cuC2A
52,Cleavage,5HzqFA4TAMCMIyyx4pdRNr,16yiEXhOukg
67,Gigamesh,1Bo8Afb2Qbjs4x6kJHyjle,nVnNGDWJDKg
73,Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4,OJpC9JqSnJk
82,Foster The People,7gP3bB2nilZXLfPHJhMdvc,ABzh6hTYpb8
93,Kavinsky,0UF7XLthtbSF2Eur7559oV,TEFKZ-7x7xU
98,Kiesza,4zxvC7CRGvggq9EWXOpwAo,kwxIFk3tZSI
108,Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,LlU4FuIJT2k
116,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,ewRjZoRtu0Y
169,Rhye,2AcUPzkVWo81vumdzeLLRN,sng_CdAAw8M
170,Rich Boy,6mXlDbi03T8wXYwWYew0Ut,pudIZbCRq_c
168,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,YlUKcNNmywk
173,Robin Thicke,0ZrpamOxcZybMHGg1AYtHP,sAHR5AIAzAc
175,Robots Don't Sleep,4J4MSynCpeuNCLIoxttRUP,jhKJ7TYugXE
179,Rustie,6YGu0Rv2120wkc4AXZSGgl,tSOUR7fi0eE
182,Santigold,6Jrxnp0JgqmeUX1veU591p,mIMMZQJ1H6E
206,The Japanese Popstars,5F8v5xSIGtfukNxq0Jqgwh,LQ_LUoLTKLo
210,The Maccabees,0vW8z9pZMGCcRtGPGtyqiB,Rcp8SE_FxBg
214,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,ZXBcwyMUrcU
240,Daye Jack,0LSjb1pZ3uHwuvIaVzhdyT,v6TFe9qzErI
269,DJ Ele,1n7gOqJytpvTmOsWMSGVkX,ViPQ-RIPmKk
287,Hayden James,4csQIMQm6vI2A2SCVDuM2z,MfttyNSCI-g
313,Nyck Caution,1ZyUXvaBXUsIZ3JD6jYGkt,#NAME?
326,Schoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,rEMsjeq43_U
101,Klingande,1L9i6qZYIGQedgM9QLSyzb,b6vSf0cA9qY
236,Valentino Khan,0deIjoDjl9g9Zpw0sCIOHh,1wl5BbUg05M
251,ABRA,6g4q7DPLaVqWGnfMpAb2Yd,CI1g4dnDtao
343,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,KZnou4zthz4
248,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,BC2dRkm8ATU
85,INTUITION ,1KliMuvrUp7XhKu7vVeex3,VzjQ8-dU3W8
194,"Snoop Dogg, Pharrell Williams",,SIQihN--98Y
207,The Killers,0C0XlULifJtAgn6ZNCW2eu,Wv2AQahZwMc
262,Alice Russell,1ga4lWS7NtKo4r9jNSWumc,oLpswbCMtKU
286,Phoebe Ryan,4N874uPqBka1QiCvnCVOtr,2fsdNJAzLuU
309,Woodkid,44TGR1CzjKBxSHsSEy7bi9,vSkb0kDacjs
227,Pell,2O2dI9lY9PnWtAa4OlrgMi,6IBKpJ7sy4k
8,AlunaGeorge,2VAnyOxzJuSAj7XIuEOT38,cmXZuv5BaHg
53,Coconut Records,2YKp8Odp8GGbAkVU60Yk2Y,mTzEp4CeWT8
106,Late Night Alumni,6JtFllJR7nhh8fa6oGefSj,a0BEDnYkGmc
4,Milk & Bone,4fmvA5uVlZUNsje29D1PaW,BPb3j7Dkn5o
5,Isaiah Rashad,6aaMZ3fcfLv4tEbmY7bjRM,QJksTRgY8-c
11,Greg Street,3q83BMJ3Mx2NSrEcqWA3A1,hjPLkPsLxc4
157,Pogo,1ng3xz2dyz57Z1WpnzM2G7,pAwR6w2TgxY
277,Action Bronson feat. Chance The Rapper,,bVP_w1rQweE
211,The Magician,4WUGQykLBGFfsl0Qjl6TDM,TFXlWfzW9Uo
181,San Cisco,0Ou0138wEd8XWebhc4j7O0,cLCaVZ3fmU0
4,Action Bronson,7BMccF0hQFBpP6417k1OtQ,58RSC7HO9aU
237,OMI,5MouCg6ta7zAxsfMEbc1uh,jGflUbPQfW8
6,Her,1T2WeXEi0XlZiPpjjDAY0L,9lRrg5DlUu8
12,OutKast,1G9G7WwrXka3Z1r7aIDjI7,gWju37TZfo0
13,Mase,1wiBLzTI7z9RUwEpNPdFT6,adg6iEz3-Ow
161,QuESt,09hVIj6vWgoCDtT03h8ZCa,AgueBRR8yLk
243,Galantis,4sTQVOfp9vEMCemLw50sbu,4jBDnYE1WjI
259,Thundercat,,GNCd_ERZvZM
339,Cashmere Cat,,be-LbSaEzZQ
7,ursa major,0,6iZutqM8CwE
14,DVBBS,5X4LWwbUFNzPkEas04uU82,I41CX0RdmPQ
141,MO,0bdfiayQAKewqEvaU6rXCv,ALFu4D5NGbg
199,Sun Glitters,4KEI2PqhlvbAdqlolRTTrp,LgzBM7EeR7o
216,Theophilus London feat. Sara Quin,7DUuTYrlor8Jc21q3qrbvE,HChafej1nbo
233,XXYYXX,1iqXhsjGeWi2Gje5q0mFYb,T-UIlx65E58
2,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,nAQVGx1vzrk
15,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Io0fBr1XBUA
178,Royksopp,,mpKVXTMGWEc
198,St. Lucia,,7HPMK9Uxq3I
239,Yo Gotti,,fKurEvAW4O0
294,Shura,1qpR5mURxk3d8f6mww6uKT,x2AOjb9HW2E
222,YONAS,6gWsNpg9lhVbimwQ8bP5K1,xvGStAFxXfs
122,Maddslinky,2x0dOrL0VF03TCmuYWC0jp,GjeM73Kx8nk
16,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,5GL9JoH4Sws
180,Ryan Hemsworth,,Y7y0iEQ_4iE
279,Guru Josh Project,4ME85YvMUi1hdqhbind7gy,jzy2dgEUOhY
301,Touch Sensitive,,1uXrXTSASK0
312,Joey Bada$$,2P5sC9cVZDToPxyomzF1UH,stoLqWXsIOY
324,RAC feat. Kele and MNDR,,SeXBiXcEBkY
184,SBTRKT,1O10apSOoAPjOu6UhUNmeI,_x6DmYxnBaI
55,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,LKYPYj2XX80
252,Lorn,6dU7gPN2BhEPfO5QHLt7es,nxg4C365LbQ
17,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,BPNTC7uZYrI
230,Fever the Ghost,02Bl8I5jXlMRfDSL5swBOm,9RHFFeQ2tu4
3,2 Chainz,17lzZA2AlOHwCwFALHttmp,2reEeG2Ho_g
18,Jeremih,3KV3p5EY4AvKxOlhGHORLg,vYMxOzxKYYo
265,Kimbra,6hk7Yq1DU9QcCCrz9uc0Ti,elyk9MBY72U
311,Wes Walker & Dyl,,oy4n88CjiBY
260,Cyril Hahn,4EFMHRFpgrpfp0AVEBp4m2,NGBeLPJTLzE
58,David Hasselhoff,0cfSfyq03Uj5lVX9jcJw1m,ZTidn2dBYbY
19,Adele,4dpARuHxo51G3z768sgnrY,YQHsXMglC9A
308,Weezer,,erG5rgNYSdk
335,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ,BjLBB-TMa84
338,2Pac,,mVObfpaR2_I
24,Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,cuZo7pLnL7c
114,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,nskaoVf8PPM
231,C2C,28INUgyzTTRbvSphrJbgZ2,2b03hoW0TKc
20,20syl,6mA4csYsYvf4Mq02PleZEV,Mqbw7CUVWhM
334,Capital Cities,4gwpcMTbLWtBUlOijbVpuu,CJinWua98NA
5,Adrian Lux,5kp9Qhzri9LrDkzrtjt5Sh,86vDxRr2ELA
115,M Machine,62rW7FjQy7clhBDHuumg22,RZNvjaJZVMg
21,Vulfpeck,7pXu47GoqSYRajmBCjxdD6,d5K3UgrPdbQ
