pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_week,vid,song_id,updated_at,pop_trending
5193465,5192267,5189904,5187354,5186247,5183683,5180808,12657,S77zUWqawag,,2017-01-29 00:01:02,24
170432,170344,170248,170034,169945,169755,169666,766,DDRPf8KHawY,,2016-05-29 00:01:06,45
1345917,1343180,1337680,1332067,1329214,1323546,1317262,28655,fyv5CBCnx6Q,,2017-01-29 00:01:02,218
433928,433828,433672,433535,433477,433324,433149,779,SPXWK_7nXuc,,2017-01-29 00:01:02,18
5356715,5354910,5351425,5348327,5346824,5343549,5340266,16449,Puph1hejMQE,,2017-01-29 00:01:02,31
3637401,3636807,3635796,3634796,3634357,3633132,3632071,5330,A-LEiOzXHWM,,2017-01-29 00:01:02,15
4417581,4416390,4414317,4412487,4411652,4409396,4407099,10482,FFhs6_b8tzs,,2017-01-29 00:01:02,24
10711572,10703788,10688237,10672748,10665187,10651310,10633875,77697,sKyK1Mme9Sc,,2017-01-29 00:01:02,73
7146458,7138299,7126347,7115281,7109893,7094687,7082975,63483,PArF9k2SbQk,,2017-01-29 00:01:02,90
1789071,1787874,1785481,1783442,1782453,1780168,1777822,11249,W4J6bFDvvwY,,2017-01-29 00:01:02,63
253758941,253595753,253337919,253091864,252967268,252594331,252298766,1460175,Pzz4Z-O7710,,2017-01-29 00:01:02,58
17066507,17024268,16950336,16881184,16846963,16758041,16690694,375813,B5YNiCfWC3A,,2017-01-29 00:01:02,225
6203117,6196489,6184407,6173032,6167384,6152930,6140003,63114,erG5rgNYSdk,,2017-01-29 00:01:02,103
123889,123792,123617,123460,123375,123215,123051,838,GQpz7mT1aYw,,2017-01-29 00:01:02,68
114242987,114141764,113978855,113829385,113754553,113577138,113394094,848893,BoEKWtgJQAU,,2017-01-29 00:01:02,75
997880437,997258740,996060189,994833777,994209464,992780577,991500761,6379676,yzTuBuRdAyA,,2017-01-29 00:01:02,64
50653301,50623327,50566475,50509624,50481247,50419343,50356941,296360,8aShfolR6w8,,2017-01-29 00:01:02,59
248945333,248400369,247405088,246546415,246124402,244900325,243829421,5115912,xUVz4nRmxn4,,2017-01-29 00:01:02,210
522627355,522396983,522033270,521682154,521499756,521001540,520589597,2037758,i_kF4zLNKio,,2017-01-29 00:01:02,39
43234896,43223165,43202344,43184482,43175656,43153506,43132882,102014,IoBP24I2lwA,,2017-01-29 00:01:02,24
371264,371139,370912,370726,370624,370348,370059,1205,U9UTyX-qqVY,,2017-01-29 00:01:02,33
7273602,7271585,7267253,7263129,7261211,7257011,7252496,21106,T0RvPYRRRbE,,2017-01-29 00:01:02,29
1130726,1130540,1130215,1129859,1129673,1129290,1128916,1810,iDAScB0kacU,,2017-01-29 00:01:02,16
447354,446764,445729,444724,444209,443014,441785,5569,ILvMOC4H9EM,,2017-01-29 00:01:02,126
40986706,40973885,40948216,40926433,40914891,40886344,40859994,126712,fN-xq7t6pKw,,2017-01-29 00:01:02,31
3258716,3257724,3256487,3255379,3254788,3253139,3251720,6996,74UWc5EJJQI,,2017-01-29 00:01:02,22
1495256,1494923,1494401,1493961,1493719,1493059,1492533,2723,KJRaKhURMEA,,2017-01-29 00:01:02,18
