id,name,playlist_name,spotify_id,spotify_songid
4055,I Shot The Sheriff,NULL,1257265982,2b81EuryAt2tPuiktMPXDJ
4056,Could You Be Loved,NULL,1257265982,0jlpgMdHL9Ar7CXlePtaql
4057,African Herbsman,NULL,1257265982,2thMYJmumIVKhBvBBnZieJ
4058,Ungirthed,NULL,1257265982,1DeuZgn99eUC1hreXTWBvY
4059,Crawlersout,NULL,1257265982,1VS2WwN3H4SNWMIrAzYqUi
4060,Breezeblocks,NULL,1257265982,4B6tAJK8RSRUkpv00hAXzD
4061,Lofticries,NULL,1257265982,45aZM1UAGfThfsQ6haapFu
4062,Swim Good,NULL,1257265982,3CgZCQyuyxHRMWB9BTwmni
4063,Dionysian,NULL,1257265982,7iSlMHJZrETQHufDAKtM2A
4064,The Horizon (Grimes and Majical Cloudz Remix),NULL,1257265982,3BfBeBwXlXjT7AQopPegCs
4065,Dmt,NULL,1257265982,4Z9wBEX8Ka4ryZ2aYmvws1
4066,About You,NULL,1257265982,1zWuZ1VXBDuhbVhyT2EvG5
4067,Fool Me,NULL,1257265982,69lCaHPtqmSBV47y1BHpkA
4068,Evelyn,NULL,1257265982,191CxlUaZlq7DrhXL2z2A4
4069,Polar Bear,NULL,1257265982,2M0ede6HqT59IoCmCiC2Gx
4070,Breeze,NULL,1257265982,5qmKx4y0qOfRYtuhPnlkjA
4071,Longtime,NULL,1257265982,3AyjOLMO1xAgF5Wb45OEzj
4072,California Sunrise,NULL,1257265982,1rTwIDd21owxbDdHI9l8lI
4073,Navy Light,NULL,1257265982,4o2nRaynEAcRYGeUgV9T2B
4074,Five Seconds,NULL,1257265982,55SYy0vHBX5NB8Ln2MOkLl
4075,Golden Light,NULL,1257265982,2bngeqrs5jE6UioSsDX3MV
4076,Kill For Love,NULL,1257265982,4jhdcYyWYx6d60j60OQDCa
4077,Tick Of The Clock (Single),NULL,1257265982,1zIRJOaYh7jQUKlxKXWY4V
4078,Amenamy,NULL,1257265982,51UseDByqDUbRDQeRWqmhm
4079,California Sunrise,NULL,1257265982,3EFtOwichs5seBabPVCWTL
