artist,spotify_id,id
Louie V,1232728199,10212
Lil Mama,1232728199,10223
DJ Ace,1232728199,10233
Soulja Slim,1232728199,10243
Ester Dean,1232728199,10253
DJ Snake,1232728199,10263
Static Major,1232728199,10273
Johnny Nash,1232728199,10283
Ray Charles,1232728199,10292
James Brown,1232728199,10302
Marlena Shaw,1232728199,10312
Fats Domino,1232728199,10322
St Germain,1232728199,10332
Boozoo Bajou,1232728199,10343
Wax Poetic,1232728199,10354
Megan Davies,1232728199,10364
Caroline Pennell,1232728199,10374
Sam Tsui,1232728199,10381
Kina Grannis,1232728199,10391
Tori Kelly,1232728199,10401
John Legend,1232728199,10411
Lights,1232728199,10419
Myles Kennedy And The Conspirators,1232728199,10429
James Blunt,1232728199,10440
The Haggis Horns,1232728199,10450
The Soul Snatchers,1232728199,10465
Bliss,1232728199,10474
Nick Jonas,1232728199,10485
D.R.A.M.,1232728199,10495
Incubus,1232728199,10504
Christine and the Queens,1232728199,10515
Absofacto,1232728199,10526
Brandi Carlile,1232728199,10539
St. Lucia,1232728199,10549
Aquilo,1232728199,10559
MIIA,1232728199,10569
Sheek Louch,1232728199,10579
Andrew Watt,1232728199,10589
Brian Keane,1233904087,17212
Nancy Hennings,1233904087,17213
Henry Wolff,1233904087,17214
Victoria Z.,1233904087,17215
"Mahmood, Chief Guard",1233904087,17216
Ohana Bam,1233904087,17217
Richie Cunning,1233904087,17218
Bill Withers,1233904087,17219
Bishop Nehru,1233904087,17220
Chico & Coolwadda,1233904087,17221
Detroit Shaun,1233904087,17222
Flume,1233904087,17223
Chet Faker,1233904087,17224
Nacho Picasso,1233904087,17225
Blue Sky Black Death,1233904087,17226
Mos Def,1233904087,17227
Ski Beatz,1233904087,17228
King Chip,1233904087,17229
Chuck Inglish,1233904087,17230
Earlly Mac,1233904087,17231
Curren$y,1233904087,17232
Big Sean,1233904087,17233
Pell,1233904087,17234
ILoveMakonnen,1233904087,17235
Squeeze,1233904087,17236
clipping,1233904087,17237
King T,1233904087,17238
Jon Connor,1233904087,17239
Tito Lopez,1233904087,17240
Chelsea Blare,1233904087,17241
Dorsh,1233904087,17242
Oreo Jones,1233904087,17243
Innocent,1233904087,17244
Lost Triibe,1233904087,17245
Sam Lachow,1233904087,17246
Tunji Ige,1233904087,17247
Red Pill,1233904087,17248
Blu,1233904087,17249
Wasiu,1233904087,17250
Black Zheep Dz,1233904087,17251
Duckwrth,1233904087,17252
The Kickdrums,1233904087,17253
Big Wild,1233904087,17254
TiRon & Ayomari,1233904087,17255
Drew Howard & Birthday Boy,1233904087,17256
Hurt Everybody,1233904087,17257
Cheldon McQueen,1233904087,17258
Sky Blaow,1233904087,17259
Ryan Campbell,1233904087,17260
Jbyrd,1233904087,17261
Flight Facilities,1233904087,17262
Yung Internet,1233904087,17263
Brock Berrigan,1233904087,17264
Capitol 1212,1233904087,17265
"Mike G (Jungle Brothers ), Dizzy Dustin, MCM & Cadence",1233904087,17266
Mr. Muthafuckin eXquire,1233904087,17267
STS,1233904087,17268
RJD2,1233904087,17269
C-Trox,1233904087,17270
Klouds,1233904087,17271
Shlohmo,1233904087,17272
D33J,1233904087,17273
Eskeerdo,1233904087,17274
Black Star,1233904087,17275
Dumbfoundead,1233904087,17276
Keith Charles Spacebar,1233904087,17277
Warm Brew,1233904087,17278
Femi Jaye,1233904087,17279
Prof,1233904087,17280
Apollo Brown,1233904087,17281
Ras Kass,1233904087,17282
Pharoahe Monch,1233904087,17283
Jay Z,1234239797,9523
Philip Bailey,1234239797,9534
Big Boi,1234239797,9543
June Conquest,1232728199,9780
The Fame Gang,1232728199,9792
Sam & Dave,1232728199,9802
Ash Tre Jinkins,1232728199,9814
N.O.R.E.,1232728199,9824
Curren$y,1232728199,9835
Naughty By Nature,1232728199,9843
Flying Lotus,1232728199,9851
Elton John,1232728199,9861
The Clash,1232728199,9870
STS,1232728199,9874
Brave Shores,1232728199,9879
Kanye West,1232728199,9888
Krizz Kaliko,1232728199,9903
Robin Thicke,1232728199,9913
Rick Ross,1232728199,9923
Coolio,1232728199,9933
Charles Bradley (feat. Menahan Street Band),1232728199,9942
Raekwon,1232728199,9952
Plastik Funk,1232728199,9963
Lil Wayne feat. Jae Millz,1232728199,9975
Mack Maine,1232728199,9985
Marian Hill,1232728199,9991
SOJA,1232728199,10003
Kool John,1232728199,10013
Basement Jaxx,1232728199,10024
DMX,1232728199,10034
Chumbawamba,1232728199,10043
Twista,1232728199,10051
Lenny Kravitz,1232728199,10059
The Modern Lovers,1232728199,10069
Boney M.,1232728199,10079
The Walkmen,1232728199,10089
Electric Light Orchestra,1232728199,10099
Highly Suspect,1232728199,10109
The Weeknd,1232728199,10119
Janet Jackson,1232728199,10129
Tish Hyman,1232728199,10139
Bondax,1232728199,10149
Angel Haze,1232728199,10160
Cherub,1232728199,10170
Estelle,1232728199,10180
Sam Smith,1232728199,10191
Frank Ocean,1232728199,10201
Meek Mill,1232728199,10211
Fatman Scoop,1232728199,10222
Destiny's Child,1232728199,10232
DJ EF Cuttin,1232728199,10242
Sage The Gemini,1232728199,10252
Gorilla Zoe,1232728199,10262
Riff-Raff,1232728199,10272
Sam Cooke,1232728199,10281
The Diplomettes,1232728199,10291
The Temptations,1232728199,10301
The Shirelles,1232728199,10311
Major Lance,1232728199,10321
Bill Withers,1232728199,10331
Xploding Plastix,1232728199,10340
De-Phazz,1232728199,10350
John Mayer,1232728199,10360
Mr Little Jeans,1232728199,10370
Alex Goot,1232728199,10380
Tyler Ward,1232728199,10390
