electronic,,,1,2,2,3
"pop, rock","pop, rock,","pop,","pop, rock,"," rock,","pop, rock,"," rock,"
alternative,"alternative,","alternative,",,,,
"alternative rock, indie pop, indie rock","alternative rock, indie pop, indie rock,","alternative rock,","alternative rock, indie pop,"," indie pop,","alternative rock, indie pop,"," indie pop,"
"alternative rock, indie pop, indie rock","alternative rock, indie pop, indie rock,","alternative rock,","alternative rock, indie pop,"," indie pop,","alternative rock, indie pop,"," indie pop,"
"alternative rock, indie pop, indie rock","alternative rock, indie pop, indie rock,","alternative rock,","alternative rock, indie pop,"," indie pop,","alternative rock, indie pop,"," indie pop,"
chillwave,"chillwave,","chillwave,",,,,
"alternative hip hop, rave","alternative hip hop, rave,","alternative hip hop,","alternative hip hop, rave,"," rave,","alternative hip hop, rave,"," rave,"
"indie rock, experimental pop","indie rock, experimental pop,","indie rock,","indie rock, experimental pop,"," experimental pop,","indie rock, experimental pop,"," experimental pop,"
"indie rock, experimental pop","indie rock, experimental pop,","indie rock,","indie rock, experimental pop,"," experimental pop,","indie rock, experimental pop,"," experimental pop,"
"indie rock, experimental pop","indie rock, experimental pop,","indie rock,","indie rock, experimental pop,"," experimental pop,","indie rock, experimental pop,"," experimental pop,"
"house, deep house, UK garage, synthpop, future garage, UK funky","house, deep house, UK garage, synthpop, future garage, UK funky,","house,","house, deep house,"," deep house,","house, deep house,"," deep house,"
"house, deep house, UK garage, synthpop, future garage, UK funky","house, deep house, UK garage, synthpop, future garage, UK funky,","house,","house, deep house,"," deep house,","house, deep house,"," deep house,"
"house, deep house, UK garage, synthpop, future garage, UK funky","house, deep house, UK garage, synthpop, future garage, UK funky,","house,","house, deep house,"," deep house,","house, deep house,"," deep house,"
"house, deep house, UK garage, synthpop, future garage, UK funky","house, deep house, UK garage, synthpop, future garage, UK funky,","house,","house, deep house,"," deep house,","house, deep house,"," deep house,"
"Hip Hop, R&B","Hip Hop, R&B,","Hip Hop,","Hip Hop, R&B,"," R&B,","Hip Hop, R&B,"," R&B,"
"house, nu-disco, dance","house, nu-disco, dance,","house,","house, nu-disco,"," nu-disco,","house, nu-disco,"," nu-disco,"
"hip hop, horrorcore","hip hop, horrorcore,","hip hop,","hip hop, horrorcore,"," horrorcore,","hip hop, horrorcore,"," horrorcore,"
"hip hop, horrorcore","hip hop, horrorcore,","hip hop,","hip hop, horrorcore,"," horrorcore,","hip hop, horrorcore,"," horrorcore,"
"hip hop, horrorcore","hip hop, horrorcore,","hip hop,","hip hop, horrorcore,"," horrorcore,","hip hop, horrorcore,"," horrorcore,"
"acoustic, folk, pop","acoustic, folk, pop,","acoustic,","acoustic, folk,"," folk,","acoustic, folk,"," folk,"
"house, electronic","house, electronic,","house,","house, electronic,"," electronic,","house, electronic,"," electronic,"
"Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia","Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia,","Indie folk,","Indie folk, psychedelic folk,"," psychedelic folk,","Indie folk, psychedelic folk,"," psychedelic folk,"
"Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia","Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia,","Indie folk,","Indie folk, psychedelic folk,"," psychedelic folk,","Indie folk, psychedelic folk,"," psychedelic folk,"
"Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia","Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia,","Indie folk,","Indie folk, psychedelic folk,"," psychedelic folk,","Indie folk, psychedelic folk,"," psychedelic folk,"
"Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia","Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia,","Indie folk,","Indie folk, psychedelic folk,"," psychedelic folk,","Indie folk, psychedelic folk,"," psychedelic folk,"
"Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia","Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia,","Indie folk,","Indie folk, psychedelic folk,"," psychedelic folk,","Indie folk, psychedelic folk,"," psychedelic folk,"
"Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia","Indie folk, psychedelic folk, folk rock, freak folk, New Weird America, neo-psychedelia,","Indie folk,","Indie folk, psychedelic folk,"," psychedelic folk,","Indie folk, psychedelic folk,"," psychedelic folk,"
"house, techno, reggae fusion","house, techno, reggae fusion,","house,","house, techno,"," techno,","house, techno,"," techno,"
"electronic, comedy","electronic, comedy,","electronic,","electronic, comedy,"," comedy,","electronic, comedy,"," comedy,"
"House, techno, progressive house, tech house","House, techno, progressive house, tech house,","House,","House, techno,"," techno,","House, techno,"," techno,"
"electropop, synthpop","electropop, synthpop,","electropop,","electropop, synthpop,"," synthpop,","electropop, synthpop,"," synthpop,"
"hip hop, R&B","hip hop, R&B,","hip hop,","hip hop, R&B,"," R&B,","hip hop, R&B,"," R&B,"
"hip hop, R&B","hip hop, R&B,","hip hop,","hip hop, R&B,"," R&B,","hip hop, R&B,"," R&B,"
"trip hop, experimental, alternative R&B, electronic, indielectronica","trip hop, experimental, alternative R&B, electronic, indielectronica,","trip hop,","trip hop, experimental,"," experimental,","trip hop, experimental,"," experimental,"
Rap,"Rap,","Rap,",,,,
"Disco, house, indie pop,electronic","Disco, house, indie pop,electronic,","Disco,","Disco, house,"," house,","Disco, house,"," house,"
"Disco, house, indie pop,electronic","Disco, house, indie pop,electronic,","Disco,","Disco, house,"," house,","Disco, house,"," house,"
"Disco, house, indie pop,electronic","Disco, house, indie pop,electronic,","Disco,","Disco, house,"," house,","Disco, house,"," house,"
"Disco, house, indie pop,electronic","Disco, house, indie pop,electronic,","Disco,","Disco, house,"," house,","Disco, house,"," house,"
"Disco, house, indie pop,electronic","Disco, house, indie pop,electronic,","Disco,","Disco, house,"," house,","Disco, house,"," house,"
"electronic, downtempo, experimental, trip hop","electronic, downtempo, experimental, trip hop,","electronic,","electronic, downtempo,"," downtempo,","electronic, downtempo,"," downtempo,"
"electronic, downtempo, experimental, trip hop","electronic, downtempo, experimental, trip hop,","electronic,","electronic, downtempo,"," downtempo,","electronic, downtempo,"," downtempo,"
"electronic, downtempo, experimental, trip hop","electronic, downtempo, experimental, trip hop,","electronic,","electronic, downtempo,"," downtempo,","electronic, downtempo,"," downtempo,"
"electronic, downtempo, experimental, trip hop","electronic, downtempo, experimental, trip hop,","electronic,","electronic, downtempo,"," downtempo,","electronic, downtempo,"," downtempo,"
"Dubstep, drum and bass,electronica, bass, Dance,electro house","Dubstep, drum and bass,electronica, bass, Dance,electro house,","Dubstep,","Dubstep, drum and bass,"," drum and bass,","Dubstep, drum and bass,"," drum and bass,"
"electronic, experimental hip hop, IDM, jazz","electronic, experimental hip hop, IDM, jazz,","electronic,","electronic, experimental hip hop,"," experimental hip hop,","electronic, experimental hip hop,"," experimental hip hop,"
"electronic, experimental hip hop, IDM, jazz","electronic, experimental hip hop, IDM, jazz,","electronic,","electronic, experimental hip hop,"," experimental hip hop,","electronic, experimental hip hop,"," experimental hip hop,"
"electronic, experimental hip hop, IDM, jazz","electronic, experimental hip hop, IDM, jazz,","electronic,","electronic, experimental hip hop,"," experimental hip hop,","electronic, experimental hip hop,"," experimental hip hop,"
"indie pop, alternative rock, indielectronica, alternative dance, neo-psychedelia","indie pop, alternative rock, indielectronica, alternative dance, neo-psychedelia,","indie pop,","indie pop, alternative rock,"," alternative rock,","indie pop, alternative rock,"," alternative rock,"
"indie pop, alternative rock, indielectronica, alternative dance, neo-psychedelia","indie pop, alternative rock, indielectronica, alternative dance, neo-psychedelia,","indie pop,","indie pop, alternative rock,"," alternative rock,","indie pop, alternative rock,"," alternative rock,"
"indie pop, alternative rock, indielectronica, alternative dance, neo-psychedelia","indie pop, alternative rock, indielectronica, alternative dance, neo-psychedelia,","indie pop,","indie pop, alternative rock,"," alternative rock,","indie pop, alternative rock,"," alternative rock,"
alternative,"alternative,","alternative,",,,,
hip hop,"hip hop,","hip hop,",,,,
hip hop,"hip hop,","hip hop,",,,,
hip hop,"hip hop,","hip hop,",,,,
hip hop,"hip hop,","hip hop,",,,,
hip hop,"hip hop,","hip hop,",,,,
"electronic, chillwave, indie pop, trip hop","electronic, chillwave, indie pop, trip hop,","electronic,","electronic, chillwave,"," chillwave,","electronic, chillwave,"," chillwave,"
"electronic, R&B","electronic, R&B,","electronic,","electronic, R&B,"," R&B,","electronic, R&B,"," R&B,"
"electronic, R&B","electronic, R&B,","electronic,","electronic, R&B,"," R&B,","electronic, R&B,"," R&B,"
"electronic, R&B","electronic, R&B,","electronic,","electronic, R&B,"," R&B,","electronic, R&B,"," R&B,"
"electronic, retro","electronic, retro,","electronic,","electronic, retro,"," retro,","electronic, retro,"," retro,"
"electronic, retro","electronic, retro,","electronic,","electronic, retro,"," retro,","electronic, retro,"," retro,"
"electronic, retro","electronic, retro,","electronic,","electronic, retro,"," retro,","electronic, retro,"," retro,"
"electronic, dreampop, lo-fi, trap","electronic, dreampop, lo-fi, trap,","electronic,","electronic, dreampop,"," dreampop,","electronic, dreampop,"," dreampop,"
"electronic, dreampop, lo-fi, trap","electronic, dreampop, lo-fi, trap,","electronic,","electronic, dreampop,"," dreampop,","electronic, dreampop,"," dreampop,"
"Indie rock, psychedelic pop, trip hop, indietronica, alternative R&B","Indie rock, psychedelic pop, trip hop, indietronica, alternative R&B,","Indie rock,","Indie rock, psychedelic pop,"," psychedelic pop,","Indie rock, psychedelic pop,"," psychedelic pop,"
"nu-disco, deep house, electropop, tropical house","nu-disco, deep house, electropop, tropical house,","nu-disco,","nu-disco, deep house,"," deep house,","nu-disco, deep house,"," deep house,"
"indie rock, alternative rock, indie pop, trip hop","indie rock, alternative rock, indie pop, trip hop,","indie rock,","indie rock, alternative rock,"," alternative rock,","indie rock, alternative rock,"," alternative rock,"
pop,"pop,","pop,",,,,
"synthpop, futurepop, dreampop, dance","synthpop, futurepop, dreampop, dance,","synthpop,","synthpop, futurepop,"," futurepop,","synthpop, futurepop,"," futurepop,"
"synthpop, futurepop, dreampop, dance","synthpop, futurepop, dreampop, dance,","synthpop,","synthpop, futurepop,"," futurepop,","synthpop, futurepop,"," futurepop,"
"synthpop, futurepop, dreampop, dance","synthpop, futurepop, dreampop, dance,","synthpop,","synthpop, futurepop,"," futurepop,","synthpop, futurepop,"," futurepop,"
"indie rock, folk rock, psychadelic pop, neo-psychadelia, art rock, experimental","indie rock, folk rock, psychadelic pop, neo-psychadelia, art rock, experimental,","indie rock,","indie rock, folk rock,"," folk rock,","indie rock, folk rock,"," folk rock,"
"indie rock, folk rock, psychadelic pop, neo-psychadelia, art rock, experimental","indie rock, folk rock, psychadelic pop, neo-psychadelia, art rock, experimental,","indie rock,","indie rock, folk rock,"," folk rock,","indie rock, folk rock,"," folk rock,"
hip hop,"hip hop,","hip hop,",,,,
dance,"dance,","dance,",,,,
"pop rock, soft rock, R&B","pop rock, soft rock, R&B,","pop rock,","pop rock, soft rock,"," soft rock,","pop rock, soft rock,"," soft rock,"
house music,"house music,","house music,",,,,
dance,"dance,","dance,",,,,
"hip hop, alternative hip hop, underground hip hop, hipster pop","hip hop, alternative hip hop, underground hip hop, hipster pop,","hip hop,","hip hop, alternative hip hop,"," alternative hip hop,","hip hop, alternative hip hop,"," alternative hip hop,"
"hip hop, alternative hip hop, underground hip hop, hipster pop","hip hop, alternative hip hop, underground hip hop, hipster pop,","hip hop,","hip hop, alternative hip hop,"," alternative hip hop,","hip hop, alternative hip hop,"," alternative hip hop,"
"indie rock, soul, blues","indie rock, soul, blues,","indie rock,","indie rock, soul,"," soul,","indie rock, soul,"," soul,"
"Soul, R&B, downtempo,electronic, experimental","Soul, R&B, downtempo,electronic, experimental,","Soul,","Soul, R&B,"," R&B,","Soul, R&B,"," R&B,"
"hip hop, EDM","hip hop, EDM,","hip hop,","hip hop, EDM,"," EDM,","hip hop, EDM,"," EDM,"
hip hop,"hip hop,","hip hop,",,,,
hip hop,"hip hop,","hip hop,",,,,
"electronic, post-dubstep, soul, experimental, alternative R&B","electronic, post-dubstep, soul, experimental, alternative R&B,","electronic,","electronic, post-dubstep,"," post-dubstep,","electronic, post-dubstep,"," post-dubstep,"
hip hop,"hip hop,","hip hop,",,,,
"PBR&B, synthpop, dance-pop","PBR&B, synthpop, dance-pop,","PBR&B,","PBR&B, synthpop,"," synthpop,","PBR&B, synthpop,"," synthpop,"
electronic,"electronic,","electronic,",,,,
hip hop,"hip hop,","hip hop,",,,,
"electro house, electronic, nu-disco, electroclash, electronic rock, alternative dance","electro house, electronic, nu-disco, electroclash, electronic rock, alternative dance,","electro house,","electro house, electronic,"," electronic,","electro house, electronic,"," electronic,"
"electro house, electronic, nu-disco, electroclash, electronic rock, alternative dance","electro house, electronic, nu-disco, electroclash, electronic rock, alternative dance,","electro house,","electro house, electronic,"," electronic,","electro house, electronic,"," electronic,"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
synth-pop,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
synth-pop,,,,,,
"House,Chill,null",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
electronica,,,,,,
